company_name,composite_quality_score,market_cap_crore,return_on_equity_pct,operating_profit_margin_pct,free_cash_flow_cr
Life Insurance Corporation of India,6971.899504148063,,133.61166666666665,1.3333333333333333,46197.166666666664
Coal India Ltd,4373.730459184044,,42.45583333333334,22982.166666666668,13647.583333333334
Tata Consultancy Services Ltd,3971.077628926067,,38.58583333333333,27.5,26134.166666666668
Hindalco Industries Ltd,2299.121058216542,,7.256666666666667,15051.5,5192.583333333333
Infosys Ltd,1937.974465822114,,25.519166666666667,26.333333333333332,12539.25
"Hindustan Unilever Ltd
",1821.0683858499253,,65.85833333333333,8846.5,6001.75
Oil & Natural Gas Corpn Ltd,1677.255064593608,,12.83,20.166666666666668,11038.75
"Indian Oil Corporation
",1473.5726037594688,,13.396666666666667,6.5,9725.5
"ITC Ltd
",1426.0460249131575,,26.037499999999998,36.583333333333336,9202.833333333334
Bharat Electronics Ltd,1356.4200350788167,,7893.884999999999,20.0,930.3333333333334
HCL Technologies Ltd,1229.5814269266748,,25.154545454545453,23.272727272727273,7987.454545454545
Interglobe Aviation Ltd,1189.0010807462975,,3229.945833333333,3244.5833333333335,2378.8333333333335
Bharti Airtel Ltd,1172.1089871511444,,1.8591666666666669,39.583333333333336,7731.833333333333
Power Grid Corporation of India Ltd,1106.7728755292612,,16.3275,85.41666666666667,7234.333333333333
"Tata Steel Ltd
",1037.6555611991032,,4.7524999999999995,12.0,6840.5
Bharat Petroleum Corporation Ltd,947.3896609895436,,22.331666666666667,5.5,6216.333333333333
Tata Motors Ltd,848.4927445328707,,3.111666666666667,11.583333333333334,5584.0
"Hero MotoCorp Ltd
",772.922285303738,,27.067272727272726,4287.181818181818,2109.090909090909
Adani Power Ltd,759.6391805533813,,-36.20916666666667,27.583333333333332,5050.083333333333
Hindustan Aeronautics Ltd,718.4698478368931,,2498.97875,23.125,2062.5
NTPC Ltd,616.7381676917696,,12.129166666666668,26.5,4006.8333333333335
Bajaj Auto Ltd,611.2945211320839,,25.234166666666667,18.666666666666668,2930.75
Punjab National Bank,604.3764074364849,,95.25666666666666,,3910.8333333333335
JSW Steel Ltd,523.965135337343,,12.316666666666668,19.0,3402.5
Sun Pharmaceuticals Industries Ltd,510.35503886918764,,14.153333333333334,29.0,3220.6666666666665
"Tata Power Company Ltd
",494.82396341636655,,8.231666666666667,16.0,3232.5
HDFC Bank Ltd,488.99047838725056,,16.458333333333332,8684.166666666666,-2583.0
"Cipla Ltd
",448.7395972342658,,12.089166666666666,3396.0,568.25
Jindal Steel & Power Ltd,436.0680824463339,,3.2841666666666662,23.75,2812.1666666666665
Tech Mahindra Ltd,431.90324807485507,,20.098333333333333,16.666666666666668,2699.75
"NHPC Ltd
",425.1541195502122,,9.73,55.916666666666664,2676.0
DLF Ltd,374.8621934037082,,3.76,32.083333333333336,2362.9166666666665
Maruti Suzuki India Ltd,339.307961001934,,14.049166666666666,12.0,2070.0
GAIL (India) Ltd,336.50282381643365,,12.520000000000001,11.833333333333334,2092.5
Nestle India Ltd,302.3295283599618,,72.5425,22.166666666666668,1766.4166666666667
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",271.72631106688647,,27.3925,18.833333333333332,1616.0833333333333
Macrotech Developers Ltd,235.8314831002449,,14.496666666666666,22.444444444444443,1486.0
Bajaj Holdings & Investment Ltd,224.32512467459995,,12.96,83.25,686.3333333333334
Ambuja Cements Ltd,221.68392319426883,,12.004545454545456,18.363636363636363,1297.0
ICICI Prudential Life Insurance Company Ltd,215.94509655089772,,21.070833333333333,283.8333333333333,1046.75
JSW Energy Ltd,206.1602077928238,,9.4125,38.0,1261.0
HDFC Life Insurance Company Ltd,180.7791895850819,,21.85083333333333,831.9166666666666,513.8
LTIMindtree Ltd,180.4894019945542,,33.6325,19.666666666666668,977.0
Jio Financial Services Ltd,170.4171307238663,,0.59,86.0,854.0
Bosch Ltd,166.66922355833995,,14.453333333333333,15.5,875.0
Samvardhana Motherson International Ltd,165.8337295022705,,21.085,8.25,1003.5833333333334
Britannia Industries Ltd,164.22822998445136,,45.26,14.5,883.25
Dr Reddys Laboratories Ltd,163.57442185109807,,16.34,21.0,927.25
Dabur India Ltd,139.2765565051137,,25.914166666666663,19.25,746.8333333333334
Divis Laboratories Ltd,136.60582872654285,,20.524166666666666,36.5,467.25
Siemens Ltd,135.66170324775058,,17.0575,10.0,692.5
ICICI Lombard General Insurance Company Ltd,127.18312260494322,,18.1575,930.5833333333334,244.16666666666666
"Adani Ports & Special Economic Zone Ltd
",110.17078694141902,,17.93916666666667,60.5,585.6666666666666
SBI Life Insurance Company Ltd,106.57197095238094,,17.01,2.5,495.8333333333333
Torrent Pharmaceuticals Ltd,102.3772518656154,,24.215833333333332,27.416666666666668,547.1666666666666
Godrej Consumer Products Ltd,96.91909253962224,,19.403333333333332,19.5,501.0833333333333
Pidilite Industries Ltd,96.6514601707217,,23.2525,19.583333333333332,444.5833333333333
Larsen & Toubro Ltd,95.26007157788752,,198.90333333333334,16.0,282.1666666666667
Havells India Ltd,92.05193364388111,,22.7625,11.25,443.25
Tata Consumer Products Ltd,86.42906125227863,,6.321666666666666,11.583333333333334,432.1666666666667
Eicher Motors Ltd,85.42951109391022,,23.825833333333335,22.25,272.6666666666667
"Titan Company Ltd
",76.33975062871313,,24.708333333333332,10.083333333333334,364.0833333333333
Shree Cement Ltd,76.02985211977511,,13.6,24.818181818181817,346.1818181818182
Indian Railway Catering & Tourism Corporation Ltd,73.62430562227158,,30.762999999999998,26.0,261.6
"Bharat Heavy Electricals Limited
",65.05056436687646,,2.5433333333333334,3.5,297.0
"Apollo Hospitals
Chain of Indian private hospitals",42.944595140021725,,9.477500000000001,12.75,182.08333333333334
Abbott India Ltd,41.69212675742715,,25.19173913043478,17.47826086956522,56.391304347826086
Trent Ltd,27.414704256153115,,6.2508333333333335,8.083333333333334,64.41666666666667
Info Edge (India) Ltd,10.51018053919252,,13.699999999999998,10.916666666666666,-202.91666666666666
Canara Bank,-1.9859934224390752,,4.791666666666667,-8489.5,5623.833333333333
Adani Energy Solutions Ltd,-16.178893585870643,,9.878181818181817,52.3,-205.63636363636363
Avenue Supermarts Ltd,-28.540915284355048,,14.445833333333333,7.75,-337.1666666666667
IndusInd Bank Ltd,-61.259986544909204,,13.113333333333335,275.5,-639.0
TVS Motor Company Ltd,-157.4716369292216,,21.61,9.5,-1138.8333333333333
Bank of Baroda,-194.2171765291093,,5.8175,-3264.0,855.25
"Kotak Mahindra Bank Ltd
",-371.0822783301476,,12.916666666666666,-5385.0,1055.0833333333333
Adani Enterprises Ltd,-380.8456357103819,,6.565,8.75,-2613.25
Grasim Industries Ltd,-487.97810444498356,,11.983333333333334,19.416666666666668,-3365.8333333333335
Adani Green Energy Ltd,-761.125271712255,,1.4312500000000001,68.875,-5144.875
"Mahindra & Mahindra Ltd
",-840.8796994014642,,14.711666666666666,14.416666666666666,-5692.25
Cholamandalam Investment & Finance Company Ltd,-1228.224880495246,,16.75583333333333,1825.5833333333333,-9581.5
Axis Bank Ltd,-1339.2818447606446,,9.988333333333333,449.5,-9267.666666666666
"Shriram Finance Ltd
",-1348.1911146005807,,14.109166666666667,23.333333333333332,-9058.0
"Reliance Industries Ltd
",-1716.9372864995373,,10.5,14.083333333333334,-11561.5
ICICI Bank Ltd,-1860.4668813986812,,12.674999999999999,-29408.666666666668,7152.75
Bajaj Finance Ltd,-3446.3605540661933,,17.543,7629.8,-28298.5
Bajaj Finserv Ltd,-3618.796192087769,,22.58,40.0,-24225.416666666668
REC Ltd,-3858.7895509256355,,18.921666666666667,92.75,-25847.5
Indian Railway Finance Corporation Ltd,-5705.608067881997,,11.493333333333332,99.55555555555556,-38150.666666666664
Power Finance Corporation Ltd,-6313.228754585427,,20.982499999999998,30.583333333333332,-42166.083333333336
