company_id,company_name,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,asset_turnover,free_cash_flow_cr
NESTLEIND,Nestle India Ltd,117.75,0.1033,24.0,2.3182,2938.0
NHPC,"NHPC Ltd
",9.64,0.6827,65.0,0.1023,1516.0
NAUKRI,Info Edge (India) Ltd,12.5,0.0016,26.0,0.5721,29.0
MOTHERSON,Samvardhana Motherson International Ltd,19.75,2.1424,6.0,1.9859,397.0
MARUTI,Maruti Suzuki India Ltd,7.01,0.0077,7.0,1.1832,1601.0
NTPC,NTPC Ltd,10.02,1.708,29.0,0.2899,-5738.0
ONGC,Oil & Natural Gas Corpn Ltd,16.94,0.4544,17.0,0.8332,42060.0
PIDILITIND,Pidilite Industries Ltd,25.68,0.0672,15.0,1.406,328.0
PFC,Power Finance Corporation Ltd,18.74,5.8899,35.0,0.1023,-25080.0
JINDALSTEL,Jindal Steel & Power Ltd,13.89,1.1584,31.0,0.347,-6069.0
ITC,"ITC Ltd
",28.16,0.0044,36.0,0.8263,13146.0
IRFC,Indian Railway Finance Corporation Ltd,7.37,7.5925,99.0,0.0693,-16376.0
INFY,Infosys Ltd,24.82,0.0,29.0,0.872,4451.0
JIOFIN,Jio Financial Services Ltd,1.15,0.0,84.0,0.0128,763.0
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,29.5,0.0,14.0,0.9114,23.0
IOC,"Indian Oil Corporation
",7.08,0.9428,2.0,1.9219,35877.0
LODHA,Macrotech Developers Ltd,17.69,3.4823,26.0,0.2663,-467.0
LTIM,LTIMindtree Ltd,41.97,0.1748,23.0,1.6542,384.0
LT,Larsen & Toubro Ltd,201.59,0.1688,17.0,16.5005,-1714.0
M&M,"Mahindra & Mahindra Ltd
",22.11,1.5089,14.0,0.842,-4768.0
JSWENERGY,JSW Energy Ltd,15.05,1.5315,41.0,0.3442,266.0
LICI,Life Insurance Corporation of India,324.32,332.5938,1.0,0.1668,22910.0
KOTAKBANK,"Kotak Mahindra Bank Ltd
",14.66,5.6043,-1789.0,0.0936,-6157.0
JSWSTEEL,JSW Steel Ltd,16.84,1.3342,25.0,0.5383,11087.0
TECHM,Tech Mahindra Ltd,17.87,0.1682,15.0,0.9879,5439.0
TATAPOWER,"Tata Power Company Ltd
",13.23,1.6593,17.0,0.4419,3569.0
TCS,Tata Consultancy Services Ltd,36.52,0.0086,29.0,1.2129,5577.0
TATASTEEL,"Tata Steel Ltd
",-21.28,2.0054,3.0,0.9172,936.0
ULTRACEMCO,,17.65,0.4821,24.0,0.6935,-744.0
UNIONBANK,,-20.64,18.0567,-36.0,0.0671,5782.0
