company_id,company_name,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,asset_turnover,free_cash_flow_cr,cluster,distance_from_centroid,cluster_name
NESTLEIND,Nestle India Ltd,117.75,0.1033,24.0,2.3182,2938.0,1,0.13703161743047376,Value
NHPC,"NHPC Ltd
",9.64,0.6827,65.0,0.1023,1516.0,1,0.06372922857608151,Value
NAUKRI,Info Edge (India) Ltd,12.5,0.0016,26.0,0.5721,29.0,1,0.13667097090745145,Value
MOTHERSON,Samvardhana Motherson International Ltd,19.75,2.1424,6.0,1.9859,397.0,1,0.1088688171829315,Value
MARUTI,Maruti Suzuki India Ltd,7.01,0.0077,7.0,1.1832,1601.0,1,0.058597710747939846,Value
NTPC,NTPC Ltd,10.02,1.708,29.0,0.2899,-5738.0,1,0.5367488918469128,Value
ONGC,Oil & Natural Gas Corpn Ltd,16.94,0.4544,17.0,0.8332,42060.0,1,2.8895434486029314,Value
PIDILITIND,Pidilite Industries Ltd,25.68,0.0672,15.0,1.406,328.0,1,0.11656027166995118,Value
PFC,Power Finance Corporation Ltd,18.74,5.8899,35.0,0.1023,-25080.0,0,1.2686779154936538,High Growth
JINDALSTEL,Jindal Steel & Power Ltd,13.89,1.1584,31.0,0.347,-6069.0,1,0.5606153834163026,Value
ITC,"ITC Ltd
",28.16,0.0044,36.0,0.8263,13146.0,1,0.8196834138618508,Value
IRFC,Indian Railway Finance Corporation Ltd,7.37,7.5925,99.0,0.0693,-16376.0,1,1.308924202262024,Value
INFY,Infosys Ltd,24.82,0.0,29.0,0.872,4451.0,1,0.20295204593460814,Value
JIOFIN,Jio Financial Services Ltd,1.15,0.0,84.0,0.0128,763.0,1,0.10583958140901725,Value
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,29.5,0.0,14.0,0.9114,23.0,1,0.13518794184791685,Value
IOC,"Indian Oil Corporation
",7.08,0.9428,2.0,1.9219,35877.0,1,2.4468775757493457,Value
LODHA,Macrotech Developers Ltd,17.69,3.4823,26.0,0.2663,-467.0,1,0.16845559380166666,Value
LTIM,LTIMindtree Ltd,41.97,0.1748,23.0,1.6542,384.0,1,0.11557022630713373,Value
LT,Larsen & Toubro Ltd,201.59,0.1688,17.0,16.5005,-1714.0,1,0.8551915926928275,Value
M&M,"Mahindra & Mahindra Ltd
",22.11,1.5089,14.0,0.842,-4768.0,1,0.46608774940832925,Value
JSWENERGY,JSW Energy Ltd,15.05,1.5315,41.0,0.3442,266.0,1,0.11176129765205509,Value
LICI,Life Insurance Corporation of India,324.32,332.5938,1.0,0.1668,22910.0,2,0.0,Stable
KOTAKBANK,"Kotak Mahindra Bank Ltd
",14.66,5.6043,-1789.0,0.0936,-6157.0,1,0.6857904990679587,Value
JSWSTEEL,JSW Steel Ltd,16.84,1.3342,25.0,0.5383,11087.0,1,0.670826127062901,Value
TECHM,Tech Mahindra Ltd,17.87,0.1682,15.0,0.9879,5439.0,1,0.27047283783926035,Value
TATAPOWER,"Tata Power Company Ltd
",13.23,1.6593,17.0,0.4419,3569.0,1,0.13513183975263354,Value
TCS,Tata Consultancy Services Ltd,36.52,0.0086,29.0,1.2129,5577.0,1,0.2814997193109578,Value
TATASTEEL,"Tata Steel Ltd
",-21.28,2.0054,3.0,0.9172,936.0,1,0.06344150411374777,Value
ULTRACEMCO,,17.65,0.4821,24.0,0.6935,-744.0,1,0.18335623991461855,Value
UNIONBANK,,-20.64,18.0567,-36.0,0.0671,5782.0,1,0.5532602280563322,Value
TORNTPHARM,Torrent Pharmaceuticals Ltd,30.59,0.4873,22.0,0.8535,-94.0,1,0.13807526285444283,Value
TITAN,"Titan Company Ltd
",27.63,0.7904,12.0,1.5017,-444.0,1,0.16179506727020132,Value
TVSMOTOR,TVS Motor Company Ltd,22.02,1.188,6.0,2.2212,344.0,1,0.12023302767640395,Value
TRENT,Trent Ltd,3.76,0.2732,5.0,0.7816,11.0,1,0.13361266030951133,Value
RECLTD,REC Ltd,14.05,8.0879,87.0,0.0863,-32591.0,0,0.7355988918801128,High Growth
POWERGRID,Power Grid Corporation of India Ltd,16.34,2.6222,83.0,0.1154,-10394.0,1,0.8705559138706668,Value
PNB,Punjab National Bank,30.67,4.8956,23.0,1.3,21860.0,1,1.4446090646031329,Value
RELIANCE,"Reliance Industries Ltd
",9.96,0.5785,18.0,0.5123,45207.0,1,3.1150395368921218,Value
TATACONSUM,Tata Consumer Products Ltd,9.25,0.2888,10.0,0.8359,197.0,1,0.12074449303321912,Value
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,15.2,0.123,27.0,0.5437,-2261.0,1,0.2921396047189703,Value
TATAMOTORS,Tata Motors Ltd,13.02,1.3538,11.0,0.9894,-9372.0,1,0.7958908184453092,Value
SBILIFE,SBI Life Insurance Company Ltd,20.09,0.0,3.0,0.3157,2533.0,1,0.08805313792558586,Value
SIEMENS,Siemens Ltd,22.75,0.0,10.0,1.1769,267.0,1,0.11969204523657667,Value
SHRIRAMFIN,"Shriram Finance Ltd
",19.94,4.5497,31.0,0.1483,-8400.0,1,0.731368086490217,Value
SHREECEM,Shree Cement Ltd,15.18,0.1448,30.0,0.6303,1603.0,1,0.057140925057999205,Value
