rank,company_id,company_name,investment_score,recommendation
1,NESTLEIND,Nestle India Ltd,85,BUY
2,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,85,BUY
3,EICHERMOT,Eicher Motors Ltd,85,BUY
4,COALINDIA,Coal India Ltd,85,BUY
5,HINDUNILVR,"Hindustan Unilever Ltd
",85,BUY
6,HEROMOTOCO,"Hero MotoCorp Ltd
",85,BUY
7,HCLTECH,HCL Technologies Ltd,85,BUY
8,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",85,BUY
9,ABB,Abbott India Ltd,85,BUY
10,BHEL,"Bharat Heavy Electricals Limited
",85,BUY
11,TCS,Tata Consultancy Services Ltd,85,BUY
12,LTIM,LTIMindtree Ltd,85,BUY
13,INDIGO,Interglobe Aviation Ltd,85,BUY
14,ITC,"ITC Ltd
",85,BUY
15,PIDILITIND,Pidilite Industries Ltd,85,BUY
16,INFY,Infosys Ltd,85,BUY
17,SIEMENS,Siemens Ltd,70,BUY
18,DABUR,Dabur India Ltd,70,BUY
19,SBILIFE,SBI Life Insurance Company Ltd,70,BUY
20,SHREECEM,Shree Cement Ltd,65,HOLD
21,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,65,HOLD
22,AMBUJACEM,Ambuja Cements Ltd,65,HOLD
23,TORNTPHARM,Torrent Pharmaceuticals Ltd,65,HOLD
24,BAJAJ-AUTO,Bajaj Auto Ltd,65,HOLD
25,BOSCHLTD,Bosch Ltd,65,HOLD
26,TECHM,Tech Mahindra Ltd,65,HOLD
27,NAUKRI,Info Edge (India) Ltd,65,HOLD
28,DIVISLAB,Divis Laboratories Ltd,65,HOLD
29,DLF,DLF Ltd,65,HOLD
30,BRITANNIA,Britannia Industries Ltd,55,HOLD
31,BEL,Bharat Electronics Ltd,55,HOLD
32,LICI,Life Insurance Corporation of India,55,HOLD
33,BPCL,Bharat Petroleum Corporation Ltd,55,HOLD
34,TVSMOTOR,TVS Motor Company Ltd,55,HOLD
35,HAVELLS,Havells India Ltd,55,HOLD
36,PNB,Punjab National Bank,55,HOLD
37,ONGC,Oil & Natural Gas Corpn Ltd,50,HOLD
38,NHPC,"NHPC Ltd
",50,HOLD
39,ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",50,HOLD
40,HAL,Hindustan Aeronautics Ltd,50,HOLD
41,JIOFIN,Jio Financial Services Ltd,50,HOLD
42,MARUTI,Maruti Suzuki India Ltd,50,HOLD
43,ICICIGI,ICICI Lombard General Insurance Company Ltd,50,HOLD
44,TATACONSUM,Tata Consumer Products Ltd,50,HOLD
45,TRENT,Trent Ltd,50,HOLD
46,GODREJCP,Godrej Consumer Products Ltd,50,HOLD
47,JSWENERGY,JSW Energy Ltd,50,HOLD
48,LT,Larsen & Toubro Ltd,50,HOLD
49,DRREDDY,Dr Reddys Laboratories Ltd,50,HOLD
50,SUNPHARMA,Sun Pharmaceuticals Industries Ltd,45,HOLD
51,ULTRACEMCO,,45,HOLD
52,CIPLA,"Cipla Ltd
",45,HOLD
53,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,35,SELL
54,HINDALCO,Hindalco Industries Ltd,35,SELL
55,MOTHERSON,Samvardhana Motherson International Ltd,35,SELL
56,HDFCLIFE,HDFC Life Insurance Company Ltd,35,SELL
57,GAIL,GAIL (India) Ltd,35,SELL
58,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",35,SELL
59,BAJAJFINSV,Bajaj Finserv Ltd,35,SELL
60,UNIONBANK,,35,SELL
61,JSWSTEEL,JSW Steel Ltd,35,SELL
62,IOC,"Indian Oil Corporation
",35,SELL
63,TATASTEEL,"Tata Steel Ltd
",35,SELL
64,BHARTIARTL,Bharti Airtel Ltd,35,SELL
65,RELIANCE,"Reliance Industries Ltd
",35,SELL
66,TATAPOWER,"Tata Power Company Ltd
",35,SELL
67,TITAN,"Titan Company Ltd
",35,SELL
68,POWERGRID,Power Grid Corporation of India Ltd,30,SELL
69,NTPC,NTPC Ltd,30,SELL
70,ICICIBANK,ICICI Bank Ltd,30,SELL
71,AXISBANK,Axis Bank Ltd,30,SELL
72,JINDALSTEL,Jindal Steel & Power Ltd,30,SELL
73,KOTAKBANK,"Kotak Mahindra Bank Ltd
",30,SELL
74,M&M,"Mahindra & Mahindra Ltd
",20,SELL
75,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,15,SELL
76,IRFC,Indian Railway Finance Corporation Ltd,15,SELL
77,LODHA,Macrotech Developers Ltd,15,SELL
78,DMART,Avenue Supermarts Ltd,15,SELL
79,PFC,Power Finance Corporation Ltd,15,SELL
80,RECLTD,REC Ltd,15,SELL
81,ADANIENSOL,Adani Energy Solutions Ltd,15,SELL
82,INDUSINDBK,IndusInd Bank Ltd,15,SELL
83,TATAMOTORS,Tata Motors Ltd,15,SELL
84,SHRIRAMFIN,"Shriram Finance Ltd
",15,SELL
85,HDFCBANK,HDFC Bank Ltd,15,SELL
86,BAJFINANCE,Bajaj Finance Ltd,15,SELL
87,ADANIGREEN,Adani Green Energy Ltd,15,SELL
88,ADANIPOWER,Adani Power Ltd,15,SELL
89,ADANIENT,Adani Enterprises Ltd,15,SELL
90,BANKBARODA,Bank of Baroda,15,SELL
91,CANBK,Canara Bank,0,SELL
92,GRASIM,Grasim Industries Ltd,0,SELL
